energy;heating;price;area;rooms;zipcode;construction_year;level;Country;City;Borough;Neighborhood
Oel;Zentralheizung;249000.0;64.0;3.0;13505;1971.0;2.0;Germany;Berlin;Reinickendorf;Konradshöhe
Gas;Fussbodenheizung, offener ;1295000.0;136.06;4.0;10405;1900.0;5.0;Germany;Berlin;Pankow ;Prenzlauer Berg
Gas;Etagenheizung;770000.0;120.0;4.0;12161;1900.0;5.0;Germany;Berlin;Tempelhof-Schöneberg;Friedenau
Gas;Zentralheizung;349000.0;158.0;5.0;12103;1956.0;1.0;Germany;Berlin;Tempelhof-Schöneberg;Tempelhof
Gas;Etagenheizung;494990.0;126.0;4.0;12157;1909.0;3.0;Germany;Berlin;Tempelhof-Schöneberg;Schöneberg
unbekannt;unbekannt;207500.0;34.02;1.0;10715;1898.0;1.0;Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf
Fernwaerme;Fussbodenheizung, ;560000.0;89.0;3.0;13507;2015.0;4.0;Germany;Berlin;Reinickendorf;Tegel
unbekannt;unbekannt;788000.0;68.56;2.0;10317;2024.0;1.0;Germany;Berlin;Lichtenberg;Rummelsburg
unbekannt;unbekannt;247000.0;31.2;1.0;10317;2024.0;1.0;Germany;Berlin;Lichtenberg;Rummelsburg
unbekannt;unbekannt;990000.0;130.0;5.0;14059;1956.0;1.0;Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg
unbekannt;unbekannt;370000.0;59.0;2.0;10715;1956.0;1.0;Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf
Oel;Zentralheizung;185000.0;28.85;1.0;12203;1969.0;3.0;Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde
Gas;Zentralheizung;398000.0;76.92;2.0;14129;1978.0;1.0;Germany;Berlin;Steglitz-Zehlendorf;Zehlendorf
unbekannt;unbekannt;271100.0;78.37;3.0;12487;1930.0;1.0;Germany;Berlin;Treptow-Köpenick;Johannisthal
Fernwaerme;Zentralheizung;995000.0;155.51;5.0;12159;1896.0;3.0;Germany;Berlin;Tempelhof-Schöneberg;Friedenau
Gas;Zentralheizung;269000.0;64.31;2.0;12527;1998.0;3.0;Germany;Berlin;Treptow-Köpenick;Grünau
unbekannt;unbekannt;599000.0;188.0;6.0;12249;1956.0;1.0;Germany;Berlin;Steglitz-Zehlendorf;Lankwitz
unbekannt;unbekannt;444900.0;66.83;3.0;10707;1962.0;1.0;Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf
Gas;Etagenheizung;449000.0;124.0;3.0;13503;1913.0;1.0;Germany;Berlin;Reinickendorf;Heiligensee
unbekannt;unbekannt;399900.0;70.0;2.0;10247;1900.0;1.0;Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain
Fernwaerme;Zentralheizung;699000.0;100.63;4.0;12683;2021.0;1.0;Germany;Berlin;Marzahn-Hellersdorf;Biesdorf
unbekannt;unbekannt;850000.0;95.0;3.0;10179;1956.0;1.0;Germany;Berlin;Mitte;Mitte
unbekannt;unbekannt;850000.0;95.0;3.0;10179;1956.0;1.0;Germany;Berlin;Mitte;Mitte
unbekannt;unbekannt;259000.0;83.0;3.0;12277;1956.0;1.0;Germany;Berlin;Tempelhof-Schöneberg;Marienfelde
Gas;Zentralheizung;339900.0;60.73;2.0;13357;1995.0;1.0;Germany;Berlin;Mitte;Gesundbrunnen
unbekannt;unbekannt;890000.0;65.0;2.0;10405;1956.0;1.0;Germany;Berlin;Pankow ;Prenzlauer Berg
unbekannt;unbekannt;439900.0;90.0;3.0;13359;1956.0;1.0;Germany;Berlin;Mitte;Gesundbrunnen
Fernwaerme;Fussbodenheizung, ;1999000.0;186.0;5.0;10711;2019.0;9.0;Germany;Berlin;Charlottenburg-Wilmersdorf;Halensee
Fernwaerme;Zentralheizung;695000.0;103.35;3.0;10245;1901.0;3.0;Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain
unbekannt;unbekannt;839000.0;113.85;3.0;12205;2017.0;2.0;Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde
unbekannt;unbekannt;239000.0;71.0;2.0;13158;1956.0;1.0;Germany;Berlin;Pankow;Rosenthal
unbekannt;unbekannt;645000.0;84.0;3.0;10249;1956.0;1.0;Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain
unbekannt;unbekannt;469000.0;63.02;2.0;13086;1956.0;2.0;Germany;Berlin;Pankow;Weissensee
unbekannt;unbekannt;509000.0;74.39;3.0;13086;1956.0;1.0;Germany;Berlin;Pankow;Weissensee
unbekannt;unbekannt;1398000.0;189.01;6.0;13086;1956.0;1.0;Germany;Berlin;Pankow;Weissensee
