energy,heating,price,area,rooms,zipcode,construction_year,level,Country,City,Borough,Neighborhood,price_per_sqm,distance_to_center_km
Oel,Zentralheizung,249000.0,64.0,3.0,13505.0,1971.0,2.0,Germany,Berlin,Reinickendorf,Konradshöhe,3890.625,14.39830259051482
Gas,"Fussbodenheizung, offener",1295000.0,136.06,4.0,10405.0,1900.0,5.0,Germany,Berlin,Pankow,Prenzlauer Berg,9517.859767749522,2.1710410144167893
Gas,Etagenheizung,770000.0,120.0,4.0,12161.0,1900.0,5.0,Germany,Berlin,Tempelhof-Schöneberg,Friedenau,6416.666666666667,7.710578223319058
Gas,Zentralheizung,349000.0,158.0,5.0,12103.0,1956.0,1.0,Germany,Berlin,Tempelhof-Schöneberg,Tempelhof,2208.8607594936707,6.188861659553526
Gas,Etagenheizung,494990.0,126.0,4.0,12157.0,1909.0,3.0,Germany,Berlin,Tempelhof-Schöneberg,Schöneberg,3928.4920634920636,5.886868706067903
unbekannt,unbekannt,207500.0,34.02,1.0,10715.0,1898.0,1.0,Germany,Berlin,Charlottenburg-Wilmersdorf,Wilmersdorf,6099.353321575543,7.316506681990168
Fernwaerme,Fussbodenheizung,560000.0,89.0,3.0,13507.0,2015.0,4.0,Germany,Berlin,Reinickendorf,Tegel,6292.134831460674,10.020614232629551
unbekannt,unbekannt,788000.0,68.56,2.0,10317.0,2024.0,1.0,Germany,Berlin,Lichtenberg,Rummelsburg,11493.582263710618,5.859824900509134
unbekannt,unbekannt,247000.0,31.2,1.0,10317.0,2024.0,1.0,Germany,Berlin,Lichtenberg,Rummelsburg,7916.666666666667,5.859824900509134
unbekannt,unbekannt,990000.0,130.0,5.0,14059.0,1956.0,1.0,Germany,Berlin,Charlottenburg-Wilmersdorf,Charlottenburg,7615.384615384615,7.172226864593716
unbekannt,unbekannt,370000.0,59.0,2.0,10715.0,1956.0,1.0,Germany,Berlin,Charlottenburg-Wilmersdorf,Wilmersdorf,6271.186440677966,7.316506681990168
Oel,Zentralheizung,185000.0,28.85,1.0,12203.0,1969.0,3.0,Germany,Berlin,Steglitz-Zehlendorf,Lichterfelde,6412.478336221837,12.318394800612612
Gas,Zentralheizung,398000.0,76.92,2.0,14129.0,1978.0,1.0,Germany,Berlin,Steglitz-Zehlendorf,Zehlendorf,5174.206968278731,14.568815445170756
unbekannt,unbekannt,271100.0,78.37,3.0,12487.0,1930.0,1.0,Germany,Berlin,Treptow-Köpenick,Johannisthal,3459.231848921781,11.083889121190929
Fernwaerme,Zentralheizung,995000.0,155.51,5.0,12159.0,1896.0,3.0,Germany,Berlin,Tempelhof-Schöneberg,Friedenau,6398.30235997685,7.710578223319058
Gas,Zentralheizung,269000.0,64.31,2.0,12527.0,1998.0,3.0,Germany,Berlin,Treptow-Köpenick,Grünau,4182.864251282848,15.359167329820698
unbekannt,unbekannt,599000.0,188.0,6.0,12249.0,1956.0,1.0,Germany,Berlin,Steglitz-Zehlendorf,Lankwitz,3186.1702127659573,10.294845829787826
unbekannt,unbekannt,444900.0,66.83,3.0,10707.0,1962.0,1.0,Germany,Berlin,Charlottenburg-Wilmersdorf,Wilmersdorf,6657.189884782284,7.316506681990168
