energy;heating;price;area;rooms;zipcode;construction_year;level;Country;City;Borough;Neighborhood;price_per_sqm;distance_to_center_km;new_apartment_per_borough;population_per_borough
Oel;Zentralheizung;249000;64;3;13505;1971;2;Germany;Berlin;Reinickendorf;Konradshöhe;3890,625;14,398;509;274.098
Gas;Fussbodenheizung, offener;1295000;136,06;4;10405;1900;5;Germany;Berlin;Pankow;Prenzlauer Berg;9517,859768;2,171;1610;427.276
Oel;Zentralheizung;349000;86;3;13583;1966;2;Germany;Berlin;Spandau;Falkenhagener Feld;4058,139535;17,424;740;259.277
unbekannt;unbekannt;799000;99,65;4;13585;1956;3;Germany;Berlin;Spandau;Spandau;8018,063221;14,349;740;259.277
unbekannt;unbekannt;297000;75;3;13591;1995;1;Germany;Berlin;Spandau;Staaken;3960;18,317;740;259.277
unbekannt;unbekannt;359000;64;3;14089;1956;1;Germany;Berlin;Spandau;Kladow;5609,375;18,625;740;259.277
Fernwaerme;Fussbodenheizung;560000;89;3;13507;2015;4;Germany;Berlin;Reinickendorf;Tegel;6292,134831;10,021;509;274.098
unbekannt;unbekannt;890000;65;2;10405;1956;1;Germany;Berlin;Pankow;Prenzlauer Berg;13692,30769;2,171;1610;427.276
unbekannt;unbekannt;239000;71;2;13158;1956;1;Germany;Berlin;Pankow;Rosenthal;3366,197183;8,482;1610;427.276
Fernwaerme;Zentralheizung;210000;39;2;13585;1957;1;Germany;Berlin;Spandau;Spandau;5384,615385;14,349;740;259.277
Gas;Zentralheizung;360000;94;3;13595;1956;1;Germany;Berlin;Spandau;Wilhelmstadt;3829,787234;14,946;740;259.277
Oel;Zentralheizung;185000;28,85;1;12203;1969;3;Germany;Berlin;Steglitz-Zehlendorf;Lichterfelde;6412,478336;12,318;345;310.044
Gas;Zentralheizung;398000;76,92;2;14129;1978;1;Germany;Berlin;Steglitz-Zehlendorf;Zehlendorf;5174,206968;14,569;345;310.044
unbekannt;unbekannt;271100;78,37;3;12487;1930;1;Germany;Berlin;Treptow-Köpenick;Johannisthal;3459,231849;11,084;2187;297.236
unbekannt;unbekannt;450000;100;3;13585;1956;1;Germany;Berlin;Spandau;Spandau;4500;14,349;740;259.277
Gas;Zentralheizung;269000;64,31;2;12527;1998;3;Germany;Berlin;Treptow-Köpenick;Grünau;4182,864251;15,359;2187;297.236
unbekannt;unbekannt;599000;188;6;12249;1956;1;Germany;Berlin;Steglitz-Zehlendorf;Lankwitz;3186,170213;10,295;345;310.044
unbekannt;unbekannt;449000;95;3;13581;1956;1;Germany;Berlin;Spandau;Spandau;4726,315789;14,349;740;259.277
Gas;Etagenheizung;449000;124;3;13503;1913;1;Germany;Berlin;Reinickendorf;Heiligensee;3620,967742;14,962;509;274.098
